Category,WordPress Path,WordPress Title,WordPress Type,New Site Path (Client),New Site Path (Actual),Redirect Implemented,Client Decision,Discrepancy,Notes
Page,"=HYPERLINK(""https://grounded.world/"",""/"")",HOME PAGE,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/"",""/"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/"",""/"")",n/a (same path),,No,Homepage - same path
Page,"=HYPERLINK(""https://grounded.world/about-us/"",""/about-us/"")",ABOUT US,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/about"",""/about"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/about-us"",""/about-us"")",n/a (same path),,"Yes - client says /about, code has /about-us with redirect FROM /about",next.config.ts redirects /about -> /about-us which is opposite of spreadsheet
Page,"=HYPERLINK(""https://grounded.world/about-us/matt-deasy/"",""/about-us/matt-deasy/"")",MATT DEASY,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/about-us/matt-deasy"",""/about-us/matt-deasy"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/about-us/matt-deasy"",""/about-us/matt-deasy"")",n/a (same path),Yes - needs high res photo,No,Team member page
Page,"=HYPERLINK(""https://grounded.world/about-us/paloma-jacome/"",""/about-us/paloma-jacome/"")",PALOMA JACOME,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/about-us/paloma-jacome"",""/about-us/paloma-jacome"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/about-us/paloma-jacome"",""/about-us/paloma-jacome"")",n/a (same path),Yes - needs photo,No,Team member page
Page,"=HYPERLINK(""https://grounded.world/about-us/phil-white/"",""/about-us/phil-white/"")",PHIL WHITE,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/about-us/phil-white"",""/about-us/phil-white"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/about-us/phil-white"",""/about-us/phil-white"")",n/a (same path),Yes - needs photo,No,Team member page
Page,"=HYPERLINK(""https://grounded.world/about-us/heidi-schoeneck/"",""/about-us/heidi-schoeneck/"")",HEIDI SCHOENECK,page,need to create,Does not exist,No,Yes - need to create,Yes - page missing,New team member - no content file exists
Page,"=HYPERLINK(""https://grounded.world/brand-marketing-agency-services/"",""/brand-marketing-agency-services/"")",SERVICES,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/services"",""/services"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/services"",""/services"")",No,,No,Need 301 redirect
Page,"=HYPERLINK(""https://grounded.world/brand-marketing-agency-services__trashed/brand-activation-agency/"",""/brand-marketing-agency-services__trashed/brand-activation-agency/"")",Activate,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/services/activation"",""/services/activation"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/services/activate"",""/services/activate"")",No,,"Yes - client says ""activation"" but code has ""activate""",Slug mismatch: activation vs activate
Page,"=HYPERLINK(""https://grounded.world/brand-marketing-agency-services__trashed/brand-strategy-agency/"",""/brand-marketing-agency-services__trashed/brand-strategy-agency/"")",Articulate,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/services/strategy"",""/services/strategy"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/services/articulate"",""/services/articulate"")",No,,"Yes - client says ""strategy"" but code has ""articulate""",Slug mismatch: strategy vs articulate
Page,"=HYPERLINK(""https://grounded.world/brand-marketing-agency-services__trashed/creative-impact-agency/"",""/brand-marketing-agency-services__trashed/creative-impact-agency/"")",Accelerate,page,"=HYPERLINK(""https://grounded-world-web-staging.vercel.app/services/impact"",""/services/impact"")","=HYPERLINK(""https://grounded-world-web-staging.vercel.app/services/accelerate"",""/services/accelerate"")",No,,"Yes - client says ""impact"" but code has ""accelerate""",Slug mismatch: impact vs accelerate
